Lon,Lat,Clave,Edo,Est,Tmax
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,23.33870968
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,24.81290323
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,25.67419355
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,23.35666667
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,23.72258065
-102,21.9,CNSAG,AGS,Los Conos Ags.,22.06451613
-102.68,22,CDRAG,AGS,La Codorniz Ags.,23.03448276
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,21.85483871
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,22.35483871
-102.29,22.16,PBLAG,AGS,PabellÛn Ags.,21.65
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,19.75
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,21.43333333
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,16.2
-102.61,21.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,14.38387097
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,22.6
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,23.51612903
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,21.96666667
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,19.1
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,21.84333333
-102.36,21.97,UAALAPOSTA,AGS,Universidad AutÛnoma de Aguascalientes Ags. SGT*,20.21833333
-102,22.02,NVLAG,AGS,El Novillo Ags.,19.275
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,22.29032258
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,20.48928571
-114.85,31.03,SFLBN,BC,San Felipe B.C.,21.64074074
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,20.36538462
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,16.43548387
-115.15,32.41,ENLBN,BC,Ejido Nuevo LeÛn B.C.,23.3
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,19.75862069
-116.83,32.47,EFLBN,BC,El Florido B.C.,18.03846154
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,19.87096774
-116.3,32.52,HNGBN,BC,El Hongo B.C.,14.35
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,20.40740741
-115.27,32.39,MXCBN,BC,Mexicali B.C.,22.87096774
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,19.48148148
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,23.3125
-113.56,28.9,BAABN,BC,BahÌa de los ¡ngeles B.C. SMN*,20.736
-115.94,30.53,SANQUINTIN,BC,San QuntÌn B.C.*,18.88333333
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,19.41481481
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,22.748
-116.37,31.49,ENSBN,BC,Ensenada B.C.,20.14
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,18.95806452
-114.97,32.06,ENCINAS,BC,Encinas Johnson Son. REMAS*,22.70322581
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,17.584
-115.19,32.41,ENVOLEONob,BC,Observatorio de EnvoleÛn B.C. SMN*,24.05217391
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,20.29032258
-116.63,32.57,TCTBN,BC,Tecate B.C.,18.564
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,18.96129032
-115.5,32.64,MEXICALIOB,BC,Mexicali Observatorio B.C. SMN*,23.468
-115.29,32.67,MEXBN,BC,Mexicali B.C. SMN*,22.07419355
-116.64,31.7,PTBBN,BC,Punta Banda B.C.,17.44444444
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,16.33913043
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,24.93548387
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,26.67666667
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,28.12903226
-109.71,23.07,SJCBS,BCS,San JosÈ del Cabo B.C.S.,26.44516129
