Date - Time,O3(ppm),SO2 (ppm),PM10(ug/m3),PM2.5(ug/m3),Temperatura (ºC),Humedad Relativa (%)
01-01-20,,,,,,
01-01-20,0.008,,,,,
01-01-20,0.01,0.0034,42,37,10.36,89
01-01-20,0.007,0.0033,43,42,10.4,89
01-01-20,0.003,0.0031,47,36,10.55,89
01-01-20,0.003,0.0029,50,47,10.71,89
01-01-20,0.003,0.0028,53,44,10.75,89
01-01-20,,0.0027,54,46,10.81,89
01-01-20,0.002,0.0026,55,45,10.93,89
01-01-20,0.003,0.0026,50,39,11.07,
01-01-20,0.004,0.0027,57,38,11.42,
01-01-20,0.005,0.0029,52,39,11.79,88
01-01-20,0.007,0.0031,50,45,12.32,88
01-01-20,0.012,0.0029,52,28,13.26,88
01-01-20,0.021,0.0029,35,17,13.97,88
01-01-20,0.025,,29,,14.55,86
01-01-20,0.023,,23,,14.47,84
01-01-20,0.028,0.0027,9,,14.15,83
01-01-20,0.029,0.0026,10,,13.51,83
01-01-20,0.028,0.0025,7,,13.49,81
01-01-20,0.03,0.0029,5,,13.34,79
01-01-20,0.031,0.0029,8,,13.26,78
01-01-20,0.029,,7,,12.82,79
01-01-20,0.03,0.0027,4,,12.88,79
02-01-20,0.029,0.0026,3,,13.06,78
02-01-20,0.026,0.0027,3,2,13.18,74
02-01-20,0.025,0.0026,2,,12.69,80
02-01-20,0.025,0.0025,2,,12.77,78
02-01-20,0.029,0.0025,,2,13.03,77
02-01-20,0.027,,3,,13.35,71
02-01-20,0.012,0.0026,4,,13.1,71
02-01-20,0.013,0.0027,4,,12.36,76
02-01-20,0.013,0.0025,9,4,12.66,77
02-01-20,0.016,0.0025,9,7,13.07,75
02-01-20,0.019,0.0024,5,,13.89,74
02-01-20,0.026,0.0024,4,2,15,71
02-01-20,0.037,,9,,19.05,56
02-01-20,0.035,0.0023,14,5,22.82,36
02-01-20,0.031,0.0023,11,7,24.06,31
02-01-20,0.035,0.0024,12,8,23.22,36
02-01-20,0.024,0.0028,17,2,23.59,35
02-01-20,0.027,0.0036,39,23,22.08,43
02-01-20,0.024,0.0037,40,,22.39,43
02-01-20,0.017,0.0033,31,11,21.18,43
02-01-20,0.01,0.0031,25,10,19.15,47
02-01-20,0.003,0.0032,34,8,18.33,48
02-01-20,0.006,0.0031,45,10,17.02,51
02-01-20,0.007,0.0029,56,15,16.42,50
03-01-20,0.008,0.0028,59,23,15.23,54
03-01-20,0.006,0.0033,41,12,14.9,55
03-01-20,0.015,0.0036,37,13,14.92,54
03-01-20,0.036,0.0038,30,16,16.08,47
03-01-20,0.029,0.0032,29,4,17.04,41
03-01-20,0.028,0.0026,12,7,15.14,50
03-01-20,0.03,0.0026,11,,15.89,43
03-01-20,0.015,0.0039,10,2,16.14,40
03-01-20,0.011,0.0028,11,5,15.22,43
03-01-20,0.015,0.0036,18,5,15.24,43
03-01-20,0.031,0.0042,38,7,15.95,41
03-01-20,0.035,0.0036,55,9,17.91,33
03-01-20,0.036,0.0024,77,20,18.03,32
03-01-20,0.035,0.0025,79,16,17.51,33
03-01-20,0.04,0.0024,71,,16.79,34
03-01-20,0.043,0.0024,49,,17.6,30
03-01-20,0.044,,58,4,18.36,26
03-01-20,0.043,0.0025,41,3,19.09,23
03-01-20,0.037,0.0025,32,,19.18,23
03-01-20,0.026,0.0029,10,5,18.43,23
03-01-20,0.019,0.0043,14,13,17.36,26
03-01-20,0.026,0.0026,21,10,16.45,28
03-01-20,0.029,0.003,12,9,16.3,27
