# Local Datetime (mm,dd,yyyy HH,mm),UTC Datetime (mm,dd,yyyy HH,mm),O3 (ppb),PM10 (µg,m3),PM2.5 (µg,m3),Temperature (ºC),Relative humidity (%),Barometric pressure (mBar),Wind speed (m,s),Wind direction (degree)
1,1,20,0,0,1,1,20,6,0,NaN,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN
1,1,20,1,0,1,1,20,7,0,0.025,NaN,28,11.68,93,NaN,NaN,NaN,NaN
1,1,20,2,0,1,1,20,8,0,0.022,NaN,28,11.68,93,NaN,NaN,NaN,NaN
1,1,20,3,0,1,1,20,9,0,0.021,NaN,11,11.7,93,NaN,NaN,NaN,NaN
1,1,20,4,0,1,1,20,10,0,0.022,NaN,NaN,11.8,93,NaN,NaN,NaN,NaN
1,1,20,5,0,1,1,20,11,0,0.024,NaN,NaN,11.83,93,NaN,NaN,NaN,NaN
1,1,20,6,0,1,1,20,12,0,0.024,NaN,NaN,11.93,93,NaN,NaN,NaN,NaN
1,1,20,7,0,1,1,20,13,0,0.021,NaN,NaN,12.01,93,NaN,NaN,NaN,NaN
1,1,20,8,0,1,1,20,14,0,0.02,NaN,NaN,12.11,NaN,NaN,NaN,NaN,NaN
1,1,20,9,0,1,1,20,15,0,0.018,NaN,NaN,12.24,NaN,NaN,NaN,NaN,NaN
1,1,20,10,0,1,1,20,16,0,0.015,NaN,4,12.51,NaN,NaN,NaN,NaN,NaN
1,1,20,11,0,1,1,20,17,0,0.012,NaN,8,12.93,NaN,NaN,NaN,NaN,NaN
1,1,20,12,0,1,1,20,18,0,0.009,NaN,21,13.89,92,NaN,NaN,NaN,NaN
1,1,20,13,0,1,1,20,19,0,0.009,NaN,40,15.36,90,NaN,NaN,NaN,NaN
1,1,20,14,0,1,1,20,20,0,0.009,NaN,51,15.91,89,NaN,NaN,NaN,NaN
1,1,20,15,0,1,1,20,21,0,0.01,NaN,54,16.65,85,NaN,NaN,NaN,NaN
1,1,20,16,0,1,1,20,22,0,0.009,NaN,43,16.67,84,NaN,NaN,NaN,NaN
1,1,20,17,0,1,1,20,23,0,0.013,NaN,25,16.09,83,NaN,NaN,NaN,NaN
1,1,20,18,0,2,1,20,0,0,0.016,NaN,4,15.02,86,NaN,NaN,NaN,NaN
1,1,20,19,0,2,1,20,1,0,0.014,NaN,12,14.66,89,NaN,NaN,NaN,NaN
1,1,20,20,0,2,1,20,2,0,0.012,NaN,14,14.6,90,NaN,NaN,NaN,NaN
1,1,20,21,0,2,1,20,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,20,22,0,2,1,20,4,0,0.006,NaN,8,14.3,92,NaN,NaN,NaN,NaN
1,1,20,23,0,2,1,20,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,20,0,0,2,1,20,6,0,0.013,NaN,6,14.06,92,NaN,NaN,NaN,NaN
2,1,20,1,0,2,1,20,7,0,0.016,NaN,7,13.89,92,NaN,NaN,NaN,NaN
2,1,20,2,0,2,1,20,8,0,0.016,NaN,8,13.82,92,NaN,NaN,NaN,NaN
2,1,20,3,0,2,1,20,9,0,0.013,NaN,4,13.73,92,NaN,NaN,NaN,NaN
2,1,20,4,0,2,1,20,10,0,0.01,NaN,5,13.6,91,NaN,NaN,NaN,NaN
2,1,20,5,0,2,1,20,11,0,0.008,NaN,5,13.25,90,NaN,NaN,NaN,NaN
2,1,20,6,0,2,1,20,12,0,0.007,NaN,4,12.75,91,NaN,NaN,NaN,NaN
2,1,20,7,0,2,1,20,13,0,0.006,NaN,NaN,12.21,92,NaN,NaN,NaN,NaN
2,1,20,8,0,2,1,20,14,0,0.007,NaN,NaN,11.82,92,NaN,NaN,NaN,NaN
2,1,20,9,0,2,1,20,15,0,0.006,NaN,NaN,12.11,91,NaN,NaN,NaN,NaN
2,1,20,10,0,2,1,20,16,0,0.009,NaN,2,14.85,85,NaN,NaN,NaN,NaN
2,1,20,11,0,2,1,20,17,0,0.021,NaN,2,17.26,71,NaN,NaN,NaN,NaN
2,1,20,12,0,2,1,20,18,0,0.027,NaN,2,19.43,62,NaN,NaN,NaN,NaN
2,1,20,13,0,2,1,20,19,0,0.029,NaN,4,21.72,52,NaN,NaN,NaN,NaN
2,1,20,14,0,2,1,20,20,0,0.029,NaN,13,22.64,52,NaN,NaN,NaN,NaN
2,1,20,15,0,2,1,20,21,0,0.028,NaN,6,23.64,54,NaN,NaN,NaN,NaN
2,1,20,16,0,2,1,20,22,0,0.028,NaN,11,24.14,53,NaN,NaN,NaN,NaN
2,1,20,17,0,2,1,20,23,0,0.026,NaN,22,22.56,60,NaN,NaN,NaN,NaN
2,1,20,18,0,3,1,20,0,0,0.017,NaN,2,22.65,59,NaN,NaN,NaN,NaN
2,1,20,19,0,3,1,20,1,0,0.006,NaN,34,20.67,68,NaN,NaN,NaN,NaN
2,1,20,20,0,3,1,20,2,0,0.006,NaN,38,19.22,74,NaN,NaN,NaN,NaN
2,1,20,21,0,3,1,20,3,0,0.007,NaN,44,17.52,79,NaN,NaN,NaN,NaN
2,1,20,22,0,3,1,20,4,0,0.006,NaN,20,16.7,81,NaN,NaN,NaN,NaN
2,1,20,23,0,3,1,20,5,0,0.006,NaN,24,15.85,82,NaN,NaN,NaN,NaN
3,1,20,0,0,3,1,20,6,0,0.006,NaN,24,15.06,86,NaN,NaN,NaN,NaN
3,1,20,1,0,3,1,20,7,0,0.006,NaN,43,15.71,82,NaN,NaN,NaN,NaN
3,1,20,2,0,3,1,20,8,0,0.021,NaN,16,16.17,55,NaN,NaN,NaN,NaN
3,1,20,3,0,3,1,20,9,0,0.028,NaN,6,16.02,49,NaN,NaN,NaN,NaN
3,1,20,4,0,3,1,20,10,0,0.018,NaN,6,14.68,56,NaN,NaN,NaN,NaN
3,1,20,5,0,3,1,20,11,0,0.008,NaN,12,12.82,69,NaN,NaN,NaN,NaN
3,1,20,6,0,3,1,20,12,0,0.006,NaN,19,11.75,76,NaN,NaN,NaN,NaN
3,1,20,7,0,3,1,20,13,0,0.006,NaN,13,11.84,74,NaN,NaN,NaN,NaN
3,1,20,8,0,3,1,20,14,0,0.006,NaN,19,12.64,67,NaN,NaN,NaN,NaN
3,1,20,9,0,3,1,20,15,0,0.012,NaN,14,14.33,58,NaN,NaN,NaN,NaN
