#CE_2020,,,,,
#Local Datetime (mm,dd,yyyy HH,mm),O3 (ppb),PM10 (µg,m3),PM2.5 (µg,m3),Temperature
01,01,20,0,00,NaN,NaN,60.91,NaN,NaN
01,01,20,1,00,0.019,NaN,85.64,10.49,91
01,01,20,2,00,0.018,NaN,72.39,10.51,91
01,01,20,3,00,0.014,NaN,70.25,10.64,92
01,01,20,4,00,0.005,NaN,93.72,10.73,92
01,01,20,5,00,0.003,NaN,83.93,10.87,92
01,01,20,6,00,0.004,NaN,77.28,10.94,92
01,01,20,7,00,0.005,NaN,67.04,11.06,92
01,01,20,8,00,0.004,NaN,64.77,11.26,91
01,01,20,9,00,0.006,NaN,62.11,11.41,91
01,01,20,10,00,0.008,NaN,51.71,11.97,91
01,01,20,11,00,0.009,NaN,41.35,12.76,90
01,01,20,12,00,0.01,NaN,34.82,13.53,90
01,01,20,13,00,0.012,NaN,26.95,14.36,89
01,01,20,14,00,0.021,NaN,16.66,14.73,88
01,01,20,15,00,0.026,NaN,7.49,14.56,85
01,01,20,16,00,0.022,NaN,7.82,14.27,85
01,01,20,17,00,0.03,NaN,4.86,13.49,86
01,01,20,18,00,0.03,NaN,4.62,13.4,85
01,01,20,19,00,0.017,NaN,14.52,13.23,86
01,01,20,20,00,0.023,NaN,8.46,12.78,87
01,01,20,21,00,0.027,NaN,4.86,12.48,87
01,01,20,22,00,0.025,NaN,4.52,12.42,87
01,01,20,23,00,0.018,NaN,6.04,12.33,88
02,01,20,0,00,0.022,NaN,4.68,12.3,88
02,01,20,1,00,0.027,NaN,5.37,12.41,85
02,01,20,2,00,0.025,NaN,6.98,12.88,81
02,01,20,3,00,0.024,NaN,5.7,13.22,77
02,01,20,4,00,0.023,NaN,6.96,13.1,76
02,01,20,5,00,0.032,NaN,4.37,13.41,70
02,01,20,6,00,0.023,NaN,9.28,13.05,73
02,01,20,7,00,0.015,NaN,10.15,12.75,75
02,01,20,8,00,0.01,NaN,NaN,12.84,76
02,01,20,9,00,0.008,NaN,9.59,13.71,75
02,01,20,10,00,0.01,NaN,9.76,15.17,71
02,01,20,11,00,0.02,NaN,7.8,19.16,57
02,01,20,12,00,0.028,NaN,5.98,21.44,47
02,01,20,13,00,0.03,NaN,4.93,22.55,42
02,01,20,14,00,0.034,NaN,5.95,22.75,32
02,01,20,15,00,0.033,NaN,10.05,23.34,38
02,01,20,16,00,0.027,NaN,11.49,21.6,44
02,01,20,17,00,0.026,NaN,9.46,21.93,47
02,01,20,18,00,0.013,NaN,11.01,20.92,51
02,01,20,19,00,0.005,NaN,15.51,18.86,56
02,01,20,20,00,0.005,NaN,12.68,17.37,59
02,01,20,21,00,0.005,NaN,12.33,16.44,60
02,01,20,22,00,0.007,NaN,11.29,16.52,53
02,01,20,23,00,0.008,NaN,23.02,15.79,57
03,01,20,0,00,0.008,NaN,18.51,16.04,52
03,01,20,1,00,0.008,NaN,18.2,15.85,51
03,01,20,2,00,0.007,NaN,23.1,15.58,53
03,01,20,3,00,0.016,NaN,13.64,15.33,50
03,01,20,4,00,0.016,NaN,12.81,14.26,54
03,01,20,5,00,0.019,NaN,12.01,14.88,50
03,01,20,6,00,0.015,NaN,10.11,15.48,45
03,01,20,7,00,0.011,NaN,7.66,14.63,47
03,01,20,8,00,0.011,NaN,7.58,15.18,43
03,01,20,9,00,0.04,NaN,4.11,18.61,30
03,01,20,10,00,0.042,NaN,3.7,19.26,29
03,01,20,11,00,0.044,NaN,4.1,19.28,29
03,01,20,12,00,0.044,NaN,4.53,18.9,30
03,01,20,13,00,0.046,NaN,5.56,18.41,31
03,01,20,14,00,0.049,NaN,5.67,18.7,28
03,01,20,15,00,0.051,NaN,5.66,19.12,25
03,01,20,16,00,0.051,NaN,4.51,19.31,23
03,01,20,17,00,0.049,NaN,3.96,19.12,23
03,01,20,18,00,0.048,NaN,3.86,18.76,23
03,01,20,19,00,0.046,NaN,3.57,18.18,24
03,01,20,20,00,0.047,NaN,3.52,17.92,24
03,01,20,21,00,0.037,NaN,6.33,16.86,27
03,01,20,22,00,0.039,NaN,6.32,16.45,28
03,01,20,23,00,0.043,NaN,4.46,16.08,28
04,01,20,0,00,0.032,NaN,5.93,14.87,32
04,01,20,1,00,0.013,NaN,13.89,12.86,41
04,01,20,2,00,0.021,NaN,13.77,11.93,44
04,01,20,3,00,0.015,NaN,8.88,10.96,48
04,01,20,4,00,0.008,NaN,10.91,10.15,53
04,01,20,5,00,0.006,NaN,12.14,9.57,56
04,01,20,6,00,0.006,NaN,10.47,9.28,57
04,01,20,7,00,0.008,NaN,13.76,9.35,54
04,01,20,8,00,0.009,NaN,18.26,9.23,53
04,01,20,9,00,0.01,NaN,14.49,12.05,45
04,01,20,10,00,0.015,NaN,18.15,14.68,37
04,01,20,11,00,0.027,NaN,12.63,16.58,31
04,01,20,12,00,0.035,NaN,12.35,17.54,29
04,01,20,13,00,0.04,NaN,13.07,18.04,27
04,01,20,14,00,0.04,NaN,20.79,18.84,25
04,01,20,15,00,0.046,NaN,25.32,19.62,25
04,01,20,16,00,0.05,NaN,24.96,20.09,26
04,01,20,17,00,0.051,NaN,23.08,20.01,27
04,01,20,18,00,0.043,NaN,15.51,18.51,31
04,01,20,19,00,0.034,NaN,14.21,16.83,35
04,01,20,20,00,0.046,NaN,9.8,16.68,35
04,01,20,21,00,0.038,NaN,8.89,15.77,37
04,01,20,22,00,0.017,NaN,22.79,13.98,44
04,01,20,23,00,0.008,NaN,43.93,13.09,48
05,01,20,0,00,0.008,NaN,39.32,12.61,49
05,01,20,1,00,0.008,NaN,36.37,12.22,50
05,01,20,2,00,NaN,NaN,37.45,11.75,52
05,01,20,3,00,NaN,NaN,34.09,11.01,54
05,01,20,4,00,NaN,NaN,28.74,10.28,56
05,01,20,5,00,0.007,NaN,27.32,10.21,55
05,01,20,6,00,0.01,NaN,22.18,9.98,54
05,01,20,7,00,0.008,NaN,22,9.72,54
05,01,20,8,00,0.012,NaN,17.12,9.88,52
05,01,20,9,00,0.018,NaN,15.17,13.02,42
05,01,20,10,00,0.023,NaN,17.07,16.65,33
05,01,20,11,00,0.03,NaN,25.95,18.13,29
05,01,20,12,00,0.032,NaN,36.08,19.25,27
05,01,20,13,00,0.034,NaN,37.3,20.71,24
05,01,20,14,00,0.057,NaN,37.11,21.44,26
05,01,20,15,00,0.065,NaN,29.47,22.21,26
05,01,20,16,00,0.069,NaN,23.59,22.84,25
05,01,20,17,00,0.069,NaN,20.83,22.97,25
05,01,20,18,00,0.06,NaN,13.25,21.55,28
05,01,20,19,00,0.037,NaN,16.01,19.65,32
05,01,20,20,00,0.023,NaN,21.22,17.23,39
05,01,20,21,00,0.008,NaN,22.6,16.11,43
05,01,20,22,00,0.01,NaN,39.52,15.85,43
05,01,20,23,00,0.01,NaN,39.22,15.26,44
06,01,20,0,00,0.008,NaN,32.11,14.61,45
06,01,20,1,00,0.01,NaN,28.82,14.05,46
06,01,20,2,00,0.012,NaN,27.61,13.53,48
06,01,20,3,00,0.016,NaN,23.6,12.99,48
06,01,20,4,00,0.021,NaN,20.61,12.88,46
06,01,20,5,00,0.016,NaN,20.44,12.97,46
06,01,20,6,00,0.008,NaN,32.69,12.23,50
06,01,20,7,00,0.01,NaN,19.65,12.75,43
06,01,20,8,00,0.007,NaN,17.71,13.14,40
06,01,20,9,00,0.01,NaN,19.18,15.96,34
06,01,20,10,00,0.013,NaN,21.38,18.93,29
06,01,20,11,00,0.024,NaN,17.42,21.76,23
06,01,20,12,00,0.033,NaN,23.55,23.2,20
06,01,20,13,00,0.047,NaN,63.73,24.27,20
06,01,20,14,00,0.048,NaN,111.13,25.15,20
06,01,20,15,00,0.058,NaN,87.52,25.71,18
06,01,20,16,00,0.064,NaN,62.75,26.29,18
06,01,20,17,00,0.078,NaN,38.68,25.94,20
06,01,20,18,00,0.059,NaN,27.37,24.3,24
06,01,20,19,00,0.015,NaN,30.59,21.84,28
06,01,20,20,00,0.006,NaN,38.45,20.24,31
06,01,20,21,00,0.006,NaN,38.93,19.4,33
06,01,20,22,00,0.024,NaN,22.9,19.6,31
06,01,20,23,00,0.014,NaN,17.14,18.46,34
