#date,tavg,tmin,tmax,prcp
2019,1,1,30.2,21.6
2019,1,2,28.8,21.6
2019,1,3,29.3,22.2
2019,1,4,29.7,22.2
2019,1,5,28.7,22.6
2019,1,6,28.4,22.8
2019,1,7,28.1,22.6
2019,1,8,28.6,23.2
2019,1,9,28.3,23.2
2019,1,10,26.3,21.2
2019,1,11,27.4,21
2019,1,12,27.6,20.6
2019,1,13,28.8,21.8
2019,1,14,28.7,22.2
2019,1,15,28.9,22.2
2019,1,16,28.7,22.8
2019,1,17,28.9,22.4
2019,1,18,29.2,23.8
2019,1,19,29.8,23.8
2019,1,20,29.1,23.2
2019,1,21,29.9,24.4
2019,1,22,29.2,23.4
2019,1,23,30,21.2
2019,1,24,29.3,22.4
2019,1,25,29.2,24.2
2019,1,26,28.9,22.8
2019,1,27,29,24.2
2019,1,28,28.2,23.4
2019,1,29,28.6,23.2
2019,1,30,28.7,23
2019,1,31,28.6,22
2019,2,1,29.1,22.8
2019,2,2,29,23.8
2019,2,3,28.8,22.4
2019,2,4,29.1,23.2
2019,2,5,29.4,23
2019,2,6,29.2,23.2
2019,2,7,29.4,22.8
2019,2,8,29.6,23
2019,2,9,29.1,23.4
2019,2,10,29.2,22.6
2019,2,11,28.6,23
2019,2,12,29.3,24.2
2019,2,13,28.9,23.6
2019,2,14,28.7,23.6
2019,2,15,28.8,23.2
2019,2,16,28.5,23.4
2019,2,17,29.4,23.6
2019,2,18,30.2,24.4
2019,2,19,29.3,23.8
2019,2,20,28.9,24.4
2019,2,21,30,24
2019,2,22,30.3,24.2
2019,2,23,29.1,23.8
2019,2,24,30.2,24
2019,2,25,29.8,23.2
2019,2,26,29.6,22.4
2019,2,27,29.3,23
2019,2,28,29.7,24.2
2019,3,1,29.8,24.4
2019,3,2,29.4,24.2
2019,3,3,29.6,NaN
2019,3,4,29.6,24.6
2019,3,5,28.9,23.4
2019,3,6,29.6,23.8
2019,3,7,29.7,23.6
2019,3,8,30.4,24.2
2019,3,9,29.6,23.8
2019,3,10,30.4,24.2
2019,3,11,30.6,23.8
2019,3,12,30.2,23.4
2019,3,13,27.9,NaN
2019,3,14,29.7,23.4
2019,3,15,29.7,23.2
2019,3,16,31.7,24
2019,3,17,29.9,23.6
2019,3,18,29.8,24.6
2019,3,19,29.1,23.8
2019,3,20,30.1,24.2
2019,3,21,28.9,23.8
2019,3,22,28.4,22.8
2019,3,23,29.1,23.2
2019,3,24,29.9,23.6
2019,3,25,29.8,23.4
2019,3,26,29.7,NaN
2019,3,27,29.2,23
2019,3,28,28.2,23.4
2019,3,29,28.5,23.6
2019,3,30,29.7,23
2019,3,31,30.4,25
2019,4,1,29.4,24.4
2019,4,2,28.4,22.8
2019,4,3,28.9,24
2019,4,4,29.9,23.2
2019,4,5,30.2,23.6
2019,4,6,29.6,24
2019,4,7,29.3,24.4
2019,4,8,29.7,23.8
2019,4,9,29.9,23.8
2019,4,10,28.4,24
2019,4,11,30.1,23.8
2019,4,12,30.5,24.4
2019,4,13,30.7,24.2
2019,4,14,30,25
2019,4,15,30.7,24.6
2019,4,16,29.8,24.8
2019,4,17,29.4,NaN
2019,4,18,29.1,NaN
2019,4,19,30.3,24.6
2019,4,20,26.4,NaN
2019,4,21,28.2,23.2
2019,4,22,28.7,23.8
2019,4,23,28.9,23.8
2019,4,24,30,24
2019,4,25,30.4,NaN
2019,4,26,30.3,25.4
2019,4,27,30.4,24.4
2019,4,28,30.3,25.4
2019,4,29,30.1,26
2019,4,30,30.5,25.4
2019,5,1,30.9,24.6
2019,5,2,31.1,26
2019,5,3,30.8,25.4
2019,5,4,30.3,26
2019,5,5,30.8,26
2019,5,6,31,27
2019,5,7,30.3,26
2019,5,8,29.2,25.4
2019,5,9,28.4,NaN
2019,5,10,26.7,NaN
2019,5,11,28.4,23.8
2019,5,12,29.2,24.8
2019,5,13,28.7,25
2019,5,14,28.8,24.6
2019,5,15,26.8,NaN
2019,5,16,29.2,23.6
2019,5,17,28.2,22.8
2019,5,18,28.4,24.2
2019,5,19,28.9,23.4
2019,5,20,27.4,24.2
2019,5,21,28.3,23.6
2019,5,22,28.8,24.4
2019,5,23,26.8,22.8
2019,5,24,29.2,24
2019,5,25,26.5,22
2019,5,26,28.1,NaN
2019,5,27,29.3,24.4
2019,5,28,25.1,NaN
2019,5,29,27.8,22.6
2019,5,30,26.1,23.8
2019,5,31,28,22.8
2019,6,1,28.2,24.4
2019,6,2,27.7,23.6
2019,6,3,29.1,NaN
2019,6,4,30.6,24.6
2019,6,5,27.8,23.8
2019,6,6,28.7,NaN
2019,6,7,26.9,NaN
2019,6,8,28.7,23.4
2019,6,9,29.6,24.2
2019,6,10,27.1,21.8
2019,6,11,28.8,24.2
2019,6,12,29.1,22.6
2019,6,13,28.6,24.2
2019,6,14,28.8,23.8
2019,6,15,29.6,23.2
2019,6,16,29.1,24.4
2019,6,17,30.9,23.6
2019,6,18,31.7,24.4
2019,6,19,31.2,25.2
2019,6,20,31.3,25.8
2019,6,21,30.4,25.4
2019,6,22,28.7,23.6
2019,6,23,30.2,24.8
2019,6,24,28.9,24.4
2019,6,25,26.5,21.6
2019,6,26,29.8,24.4
2019,6,27,29.2,24.4
2019,6,28,29.2,24.2
2019,6,29,29.7,24.8
2019,6,30,27.7,23.4
2019,7,1,27.6,24
2019,7,2,27.8,20.8
2019,7,3,29.2,24.2
2019,7,4,30.1,24
2019,7,5,30.1,24.2
2019,7,6,30,23.8
2019,7,7,30.3,24.2
2019,7,8,28,23.6
2019,7,9,28.2,23.8
2019,7,10,28.4,24
2019,7,11,28.4,24
2019,7,12,28.9,24.4
2019,7,13,29.5,23.8
2019,7,14,27.7,NaN
2019,7,15,28,23.8
2019,7,16,28.6,22.1
2019,7,17,30.1,22.5
2019,7,18,30.1,24.1
2019,7,19,28.8,22.2
2019,7,20,30.5,NaN
2019,7,21,31.1,25
2019,7,22,29.7,24.8
2019,7,23,27.8,21.7
2019,7,24,28.2,24.1
2019,7,25,28.1,24
2019,7,26,27.3,NaN
2019,7,27,28.5,22
2019,7,28,30.2,24.4
2019,7,29,29.8,24.4
2019,7,30,28.7,25.5
2019,7,31,30.3,NaN
2019,8,1,28.6,24.5
2019,8,2,29.9,24.3
2019,8,3,29.2,24.6
2019,8,4,29.2,23
2019,8,5,30.1,24.3
2019,8,6,29.3,23.1
2019,8,7,29.8,NaN
2019,8,8,28.1,23.9
2019,8,9,28.4,NaN
2019,8,10,31,23.9
2019,8,11,29.3,NaN
2019,8,12,29.8,22.3
2019,8,13,28.4,24.3
2019,8,14,28.2,20.4
2019,8,15,28.6,21
2019,8,16,27.3,22.2
2019,8,17,26.4,21.5
2019,8,18,28.8,23.8
2019,8,19,28.9,23.9
2019,8,20,27.9,22.1
2019,8,21,27.4,20.4
2019,8,22,29.4,23.4
2019,8,23,29.1,23.5
2019,8,24,30.2,24.2
2019,8,25,27.4,21.7
2019,8,26,29.7,23.4
2019,8,27,30.7,24.9
2019,8,28,27.6,22.3
2019,8,29,28.7,21.7
2019,8,30,29.6,23.8
2019,8,31,29.9,25
2019,9,1,28.1,23.4
2019,9,2,25.6,NaN
2019,9,3,28.2,21.3
2019,9,4,29,NaN
2019,9,5,28.2,23.2
2019,9,6,28.6,21
2019,9,7,29.6,23.1
2019,9,8,26.6,24.8
2019,9,9,29.1,22.6
2019,9,10,30.6,24.2
2019,9,11,30.4,25.1
2019,9,12,26.7,22
2019,9,13,28.5,22.3
2019,9,14,27.3,NaN
2019,9,15,27.1,NaN
2019,9,16,27.1,22.4
2019,9,17,28.1,22.4
2019,9,18,27.2,22.1
2019,9,19,26.7,22.1
2019,9,20,27.6,21.8
2019,9,21,25.9,20.7
2019,9,22,28.5,23.4
2019,9,23,28.4,22
2019,9,24,27.5,22
2019,9,25,29.7,23.5
2019,9,26,26.7,21.9
2019,9,27,28.7,21.7
2019,9,28,29.4,23.5
2019,9,29,27.5,23
2019,9,30,28.5,22.1
2019,10,1,29.2,22.7
2019,10,2,26.8,23.4
2019,10,3,27.9,22.4
2019,10,4,28.7,23
2019,10,5,28.4,23.2
2019,10,6,28.3,24.2
2019,10,7,27.7,22.4
2019,10,8,29.1,23.1
2019,10,9,27.2,21.5
2019,10,10,27.4,22.1
2019,10,11,26.5,22.5
2019,10,12,28.1,22
2019,10,13,26.3,23
2019,10,14,27.6,22.4
2019,10,15,27.9,23.2
2019,10,16,28.3,23.1
2019,10,17,28.3,NaN
2019,10,18,25.3,NaN
2019,10,19,26,21.9
2019,10,20,25.6,23.6
2019,10,21,26.2,21.9
2019,10,22,26.4,21.7
2019,10,23,27.7,21.6
2019,10,24,27.8,22.4
2019,10,25,28.4,21.5
2019,10,26,28.3,23.4
2019,10,27,27.3,23.1
2019,10,28,28.6,23
2019,10,29,28.8,22.2
2019,10,30,28.4,23.5
2019,10,31,27.8,23
2019,11,1,27.8,23.2
2019,11,2,26.7,21.9
2019,11,3,27.2,23.4
2019,11,4,28.8,23.8
2019,11,5,27.3,22.1
2019,11,6,28.8,22.6
2019,11,7,27.8,23.8
2019,11,8,29.4,23.9
2019,11,9,27.8,24.4
2019,11,10,29.3,22.6
2019,11,11,28.2,23
2019,11,12,27.1,23.3
2019,11,13,27.3,22.3
2019,11,14,29.2,22.7
2019,11,15,28.8,22.8
2019,11,16,28.6,23.4
2019,11,17,26.9,23.8
2019,11,18,27.6,21.5
2019,11,19,27.5,22.4
2019,11,20,28.4,21.4
2019,11,21,28.4,22.6
2019,11,22,28.2,22.1
2019,11,23,29,NaN
2019,11,24,29.3,23
2019,11,25,28.5,22.9
2019,11,26,30.4,23.4
2019,11,27,31.6,NaN
2019,11,28,29.9,24.9
2019,11,29,28.8,23.7
2019,11,30,28.3,22.7
2019,12,1,29.1,22.8
2019,12,2,27.9,24.2
2019,12,3,28.2,NaN
2019,12,4,28,23.8
2019,12,5,28.8,25.3
2019,12,6,28.7,24.4
2019,12,7,28.9,24.6
2019,12,8,28.1,22.4
2019,12,9,28.3,NaN
2019,12,10,28.4,22.8
2019,12,11,29.2,24.1
2019,12,12,28.9,23.6
2019,12,13,28.9,NaN
2019,12,14,28.4,23.4
2019,12,15,28.3,24
2019,12,16,29.7,NaN
2019,12,17,28.9,24.8
2019,12,18,28.4,23.8
2019,12,19,27.9,NaN
2019,12,20,28.9,24.7
2019,12,21,28.9,24.8
2019,12,22,29.1,24.4
