# date,tavg,tmin,tmax,prcp,,
2019,1,1,15.6,NaN,NaN,NaN
2019,1,2,14.9,NaN,NaN,NaN
2019,1,3,13.9,NaN,NaN,NaN
2019,1,4,15.5,NaN,NaN,NaN
2019,1,5,17.1,NaN,NaN,NaN
2019,1,6,17.8,NaN,NaN,NaN
2019,1,7,17.6,NaN,NaN,NaN
2019,1,8,14.6,NaN,NaN,NaN
2019,1,9,15.6,3,25.8,0
2019,1,10,13.9,NaN,NaN,NaN
2019,1,11,10.3,NaN,NaN,NaN
2019,1,12,15.6,5.4,23.8,0
2019,1,13,15.3,9.2,23.8,2.8
2019,1,14,15,NaN,NaN,NaN
2019,1,15,14.2,NaN,NaN,NaN
2019,1,16,15.7,4.4,21.6,0
2019,1,17,14.8,NaN,NaN,NaN
2019,1,18,15.2,NaN,NaN,NaN
2019,1,19,15.7,NaN,NaN,NaN
2019,1,20,15.6,NaN,NaN,NaN
2019,1,21,15.1,0.8,24,0
2019,1,22,14.1,NaN,NaN,NaN
2019,1,23,14.3,0.8,24.4,0
2019,1,24,16.3,NaN,NaN,NaN
2019,1,25,17,NaN,NaN,NaN
2019,1,26,14.9,NaN,NaN,NaN
2019,1,27,15.9,NaN,NaN,NaN
2019,1,28,13.9,NaN,NaN,NaN
2019,1,29,16.1,NaN,NaN,NaN
2019,1,30,13.6,NaN,NaN,NaN
2019,1,31,13.8,NaN,NaN,NaN
2019,2,1,13.7,NaN,NaN,NaN
2019,2,2,16.3,NaN,NaN,NaN
2019,2,3,17,NaN,NaN,NaN
2019,2,4,17.7,NaN,NaN,NaN
2019,2,5,18.6,NaN,NaN,NaN
2019,2,6,18.8,NaN,NaN,NaN
2019,2,7,19.7,NaN,NaN,NaN
2019,2,8,17.8,NaN,NaN,NaN
2019,2,9,14.8,NaN,NaN,NaN
2019,2,10,15.3,NaN,NaN,NaN
2019,2,11,16.9,NaN,NaN,NaN
2019,2,12,17.1,7.2,26.9,NaN
