# yaer,month,day,tmin,tmax,tmean
2020,1,1,29.1,23.4,26.25
2020,1,2,29.4,22.8,26.1
2020,1,3,29.9,23.2,26.55
2020,1,4,28.9,22.6,25.75
2020,1,5,29.3,23,26.15
2020,1,6,28.7,22.4,25.55
2020,1,7,28.7,22,25.35
2020,1,8,29.8,22.8,26.3
2020,1,9,30.6,23.2,26.9
2020,1,10,30.1,20.8,25.45
2020,1,11,29.4,NaN,NaN
2020,1,12,29.9,22,25.95
2020,1,13,28.2,NaN	NaN
2020,1,14,29.8,22.6,26.2
2020,1,15,29.7,NaN,NaN
2020,1,16,30.1,23,26.55
2020,1,17,31.2,22.8,27
2020,1,18,31.2,22.6,26.9
2020,1,19,30.6,22.8,26.7
2020,1,20,29.5,23.8,26.65
2020,1,21,28.8,23.4,26.1
2020,1,22,28.9,23,25.95
2020,1,23,27.9,23,25.45
2020,1,24,28,23,25.5
2020,1,25,28.2,23.4,25.8
2020,1,26,28.8,23.6,26.2
2020,1,27,28.7,22.4,25.55
2020,1,28,29.1,22.6,25.85
2020,1,29,29.3,22.8,26.05
2020,1,30,29.9,23,26.45
2020,1,31,30.4,23.2,26.8
2020,2,1,30.1,22.6,26.35
2020,2,2,29.5,NaN,NaN
2020,2,3,29.9,23.4,26.65
2020,2,4,29.7,23,26.35
2020,2,5,29.7,23.4,26.55
2020,2,6,29.6,22.6,26.1
2020,2,7,29.7,NaN,NaN
2020,2,8,29.5,23.4,26.45
2020,2,9,29.2,23.2,26.2
2020,2,10,31.9,22,26.95
2020,2,11,29.8,23.2,26.5
2020,2,12,30,22.6,26.3
2020,2,13,30.1,23.6,26.85
2020,2,14,30,23.2,26.6
2020,2,15,29.8,24,26.9
2020,2,16,29.8,23.2,26.5
2020,2,17,30.8,24,27.4
2020,2,18,31.2,22.6,26.9
2020,2,19,30.7,23.4,27.05
2020,2,20,30.5,23.8,27.15
2020,2,21,30.1,24,27.05
2020,2,22,28.8,22.8,25.8
2020,2,23,28.8,22.4,25.6
2020,2,24,29.2,21.8,25.5
2020,2,25,28.2,22.8,25.5
2020,2,26,28.9,22.6,25.75
2020,2,27,29,23.8,26.4
2020,2,28,30.1,23,26.55
2020,2,29,30.1,24.4,27.25
2020,3,1,29.6,22.4,26
2020,3,2,30.2,NaN,NaN
2020,3,3,29.8,22.6,26.2
2020,3,4,30.2,24.4,27.3
2020,3,5,30.3,23.2,26.75
2020,3,6,29.6,24.4,27
2020,3,7,28.8,23.4,26.1
2020,3,8,29.9,22.8,26.35
2020,3,9,30.1,22.2,26.15
2020,3,10,29.8,24.2,27
2020,3,11,29.1,NaN,NaN
2020,3,12,29.1,23.8,26.45
2020,3,13,29.4,NaN,NaN
2020,3,14,30.2,NaN,NaN
2020,3,15,29.9,24.2,27.05
2020,3,16,29.1,23.6,26.35
2020,3,17,30.2,22.2,26.2
2020,3,18,30.4,24.2,27.3
