# date,tavg,tmin,tmax,prcp,
2020,1,1,25.9,NaN,NaN
2020,1,2,25.8,NaN,NaN
2020,1,3,24.8,NaN,NaN
2020,1,4,23.3,18.2,32.8
2020,1,5,21.1,16.8,26.3
2020,1,6,21.1,NaN,NaN
2020,1,7,21.6,NaN,NaN
2020,1,8,21.9,NaN,NaN
2020,1,9,21.6,NaN,NaN
2020,1,10,23.8,NaN,NaN
2020,1,11,25.7,NaN,NaN
2020,1,12,24.7,NaN,NaN
2020,1,13,22.4,NaN,NaN
2020,1,14,25.8,19,33.4
2020,1,15,26.2,NaN,NaN
2020,1,16,25.4,NaN,NaN
2020,1,17,24.8,18.2,34.7
2020,1,18,23.3,NaN,NaN
2020,1,19,24.7,NaN,NaN
2020,1,20,24.1,NaN,NaN
2020,1,21,21.6,17.8,28.4
2020,1,22,22.4,NaN,NaN
2020,1,23,24.1,NaN,NaN
2020,1,24,24.4,16.5,33.9
2020,1,25,24.3,NaN,NaN
2020,1,26,25,NaN,NaN
2020,1,27,26,NaN,NaN
2020,1,28,25.5,NaN,NaN
2020,1,29,25.1,NaN,NaN
2020,1,30,25.6,NaN,NaN
2020,1,31,26.6,NaN,NaN
2020,2,1,25.1,18.4,36.4
2020,2,2,23.1,NaN,NaN
2020,2,3,23.1,NaN,NaN
2020,2,4,27,NaN,NaN
2020,2,5,26.7,NaN,NaN
2020,2,6,26.8,NaN,NaN
2020,2,7,26.4,NaN,NaN
2020,2,8,25.8,NaN,NaN
2020,2,9,26.5,NaN,NaN
2020,2,10,26.3,NaN,NaN
2020,2,11,27.4,NaN,NaN
2020,2,12,28.2,NaN,NaN
2020,2,13,27.7,NaN,NaN
2020,2,14,25.4,20.5,34.5
2020,2,15,24.6,NaN,NaN
2020,2,16,24.9,NaN,NaN
2020,2,17,25.8,NaN,NaN
2020,2,18,26.4,NaN,NaN
2020,2,19,26.3,NaN,NaN
2020,2,20,26.8,NaN,NaN
2020,2,21,25.7,20.1,34.6
2020,2,22,22.8,NaN,NaN
2020,2,23,23.9,NaN,NaN
2020,2,24,25,NaN,NaN
2020,2,25,27.8,NaN,NaN
2020,2,26,27,NaN,NaN
2020,2,27,20.9,NaN,NaN
2020,2,28,21.3,NaN,NaN
2020,2,29,22.2,NaN,NaN
2020,3,1,23.1,NaN,NaN
2020,3,2,27.3,NaN,NaN
2020,3,3,28.2,NaN,NaN
2020,3,4,29,NaN,NaN
2020,3,5,26,NaN,NaN
2020,3,6,22.2,18.2,29.6
2020,3,7,21.9,NaN,NaN
2020,3,8,23.2,NaN,NaN
2020,3,9,25.2,NaN,NaN
2020,3,10,25.1,NaN,NaN
2020,3,11,27.5,19.7,32.8
2020,3,12,26.5,NaN,NaN
2020,3,13,29.2,19.6,36.2
2020,3,14,29.9,19.3,38.1
2020,3,15,28.3,19.3,36.2
2020,3,16,27.8,NaN,NaN
2020,3,17,28.1,NaN,NaN
2020,3,18,28.8,21.4,36.6
2020,3,19,29.8,22,38.3
2020,3,20,30.1,NaN,NaN
2020,3,21,29.6,NaN,NaN
2020,3,22,28.9,NaN,NaN
2020,3,23,28.4,NaN,NaN
2020,3,24,30.2,NaN,NaN
2020,3,25,29.8,NaN,NaN
2020,3,26,30.1,21,38.3
2020,3,27,30.4,21,39.5
2020,3,28,30.6,21,39.7
2020,3,29,31.1,NaN,NaN
2020,3,30,30.7,22.2,37.4
2020,3,31,29.2,NaN,NaN
2020,4,1,25.8,NaN,NaN
2020,4,2,28.8,NaN,NaN
2020,4,3,28.1,21.3,39.3
2020,4,4,29.7,NaN,NaN
2020,4,5,31.2,NaN,NaN
2020,4,6,30.2,22.6,40.1
2020,4,7,31.1,NaN,NaN
2020,4,8,31.4,NaN,NaN
2020,4,9,32.3,NaN,NaN
2020,4,10,32.8,NaN,NaN
2020,4,11,32.7,23.8,40.8
2020,4,12,31.3,NaN,NaN
2020,4,13,31.3,NaN,NaN
2020,4,14,31.6,21.3,38.9
2020,4,15,30.6,NaN,NaN
2020,4,16,30,NaN,NaN
2020,4,17,31,NaN,NaN
2020,4,18,31.6,23.7,40
2020,4,19,31,NaN,NaN
2020,4,20,30.1,22,37.7
2020,4,21,30.8,NaN,NaN
2020,4,22,31.6,22.6,39.4
2020,4,23,32.4,NaN,NaN
2020,4,24,31.7,NaN,NaN
2020,4,25,32.1,NaN,NaN
2020,4,26,29.9,NaN,NaN
2020,4,27,28.6,NaN,NaN
2020,4,28,28.5,NaN,NaN
2020,4,29,31.7,NaN,NaN
2020,4,30,30.6,23.1,38.9
2020,5,1,27.9,NaN,NaN
2020,5,2,29.4,22.1,35.4
2020,5,3,30.2,NaN,NaN
2020,5,4,31,NaN,NaN
2020,5,5,27.8,NaN,NaN
2020,5,6,26.3,20.6,38.4
2020,5,7,27.7,20.6,35.9
2020,5,8,29.1,NaN,NaN
2020,5,9,29.4,21.5,37.2
2020,5,10,28.6,22.3,37.3
2020,5,11,28.7,NaN,NaN
2020,5,12,29.7,NaN,NaN
2020,5,13,30.6,NaN,NaN
2020,5,14,29.2,20.4,38.4
2020,5,15,29.9,NaN,NaN
2020,5,16,30.9,22.3,38.7
2020,5,17,31.4,NaN,NaN
2020,5,18,29.3,22,38.8
2020,5,19,29.3,NaN,NaN
2020,5,20,29.3,NaN,NaN
2020,5,21,30.6,NaN,NaN
2020,5,22,29.8,22.3,38.2
2020,5,23,30.6,NaN,NaN
2020,5,24,29.7,NaN,NaN
2020,5,25,30.9,NaN,NaN
2020,5,26,31.9,NaN,NaN
2020,5,27,31.1,23.1,39.2
2020,5,28,28.4,21.6,38.6
2020,5,29,26.6,21.4,37.4
2020,5,30,25.4,21.4,32.5
2020,5,31,24.8,NaN,NaN
2020,6,1,24,20,30.2
2020,6,2,23.7,NaN,NaN
2020,6,3,22.9,20.5,29.1
2020,6,4,24.6,NaN,NaN
2020,6,5,25.7,21.2,30.3
2020,6,6,25.5,19.6,31.9
2020,6,7,27.9,19.6,33.9
2020,6,8,29.1,NaN,NaN
2020,6,9,29.5,NaN,NaN
2020,6,10,28.9,NaN,NaN
2020,6,11,28.2,NaN,NaN
2020,6,12,27.8,NaN,NaN
2020,6,13,25.4,21.4,31.8
2020,6,14,26.1,NaN,NaN
2020,6,15,26.3,NaN,NaN
2020,6,16,26.7,21.8,31.8
2020,6,17,27.2,21.8,31.6
2020,6,18,26.1,NaN,NaN
2020,6,19,25.2,22.4,33.4
2020,6,20,26.8,NaN,NaN
2020,6,21,28.1,NaN,NaN
2020,6,22,28.8,NaN,NaN
2020,6,23,25.7,20.9,35.7
2020,6,24,25.4,NaN,NaN
2020,6,25,26.7,20.6,34.9
2020,6,26,27.6,21,35.4
2020,6,27,28.2,NaN,NaN
2020,6,28,27.3,NaN,NaN
2020,6,29,27.1,21.4,34.1
2020,6,30,27.4,NaN,NaN
2020,7,1,27.1,20,35
2020,7,2,27.8,20,35.9
2020,7,3,25.6,NaN,NaN
2020,7,4,26.1,20.4,32
2020,7,5,27.1,NaN,NaN
2020,7,6,27.5,22,35.8
2020,7,7,26.3,22,35.9
2020,7,8,28.3,22.1,34.5
2020,7,9,28.9,NaN,NaN
2020,7,10,27.6,22.6,36.2
2020,7,11,27.1,NaN,NaN
2020,7,12,27.6,21,34.5
2020,7,13,27.5,NaN,NaN
2020,7,14,27.8,21.2,35.1
2020,7,15,27.3,NaN,NaN
2020,7,16,26.4,20.4,35.4
2020,7,17,28.3,20.4,33.6
2020,7,18,28.2,NaN,NaN
2020,7,19,28.5,NaN,NaN
2020,7,20,27.5,NaN,NaN
2020,7,21,25.7,NaN,NaN
2020,7,22,25.3,21.8,35.2
2020,7,23,25.5,20.6,33.8
2020,7,24,27.4,NaN,NaN
2020,7,25,27.3,21.6,35.6
2020,7,26,26.7,NaN,NaN
2020,7,27,28.1,NaN,NaN
2020,7,28,26.7,21.5,36.3
2020,7,29,28.8,21.5,33.6
2020,7,30,27.2,22.5,34.7
2020,7,31,26.3,NaN,NaN
2020,8,1,27.9,NaN,NaN
2020,8,2,27.1,NaN,NaN
2020,8,3,28.2,22.8,36.3
2020,8,4,26.7,NaN,NaN
2020,8,5,27.7,NaN,NaN
2020,8,6,27.3,23,33.8
2020,8,7,25.7,22,33.3
2020,8,8,NaN,NaN,NaN
2020,8,9,NaN,NaN,NaN
2020,8,10,NaN,NaN,NaN
2020,8,11,NaN,NaN,NaN
2020,8,12,NaN,NaN,NaN
2020,8,13,NaN,NaN,NaN
2020,8,14,NaN,NaN,NaN
2020,8,15,NaN,NaN,NaN
2020,8,16,NaN,NaN,NaN
2020,8,17,NaN,NaN,NaN
2020,8,18,NaN,NaN,NaN
2020,8,19,NaN,NaN,NaN
